Account ID,Account Name,Trade Date,Total Amount,Total Realized PNL
41053095,PAAPEX4748380000001,2026-02-18,"50,000.00",0.00
41053095,PAAPEX4748380000001,2026-02-19,"50,000.00",0.00
41053095,PAAPEX4748380000001,2026-03-05,"49,799.17",-200.83
41053095,PAAPEX4748380000001,2026-03-06,"49,736.05",-63.12
41053095,PAAPEX4748380000001,2026-03-07,"49,736.05",0.00
41053095,PAAPEX4748380000001,2026-03-10,"49,785.01",48.96
41053095,PAAPEX4748380000001,2026-03-11,"49,846.47",61.46
41053095,PAAPEX4748380000001,2026-03-12,"49,937.93",91.46
41053095,PAAPEX4748380000001,2026-03-13,"49,937.93",0.00
41053095,PAAPEX4748380000001,2026-03-14,"49,937.93",0.00
41053095,PAAPEX4748380000001,2026-03-17,"49,937.93",0.00
41053095,PAAPEX4748380000001,2026-03-20,"49,914.39",-23.54
41053095,PAAPEX4748380000001,2026-03-21,"49,914.39",0.00
41053095,PAAPEX4748380000001,2026-03-25,"49,878.56",-35.83
41053095,PAAPEX4748380000001,2026-03-26,"49,878.56",0.00
41053095,PAAPEX4748380000001,2026-03-28,"49,878.56",0.00
41053095,PAAPEX4748380000001,2026-04-23,"49,878.56",0.00
41053095,PAAPEX4748380000001,2026-04-24,"49,898.98",20.42
41053095,PAAPEX4748380000001,2026-04-25,"49,898.98",0.00
41053095,PAAPEX4748380000001,2026-04-27,"49,910.03",11.05
41053095,PAAPEX4748380000001,2026-04-28,"49,910.03",0.00
41053095,PAAPEX4748380000001,2026-04-29,"49,910.03",0.00
41053095,PAAPEX4748380000001,2026-04-30,"49,910.03",0.00
41053095,PAAPEX4748380000001,2026-05-02,"49,910.03",0.00
41053095,PAAPEX4748380000001,2026-05-05,"49,996.49",86.46
41053095,PAAPEX4748380000001,2026-05-06,"49,996.49",0.00
41053095,PAAPEX4748380000001,2026-05-08,"50,016.91",20.42
41053095,PAAPEX4748380000001,2026-05-09,"50,016.91",0.00
41053095,PAAPEX4748380000001,2026-05-11,"50,042.12",25.21
41053095,PAAPEX4748380000001,2026-05-12,"50,042.12",0.00
41053095,PAAPEX4748380000001,2026-05-13,"50,057.33",15.21
41053095,PAAPEX4748380000001,2026-05-14,"50,057.33",0.00
41053095,PAAPEX4748380000001,2026-05-15,"50,103.79",46.46
41053095,PAAPEX4748380000001,2026-05-16,"50,103.79",0.00
41053095,PAAPEX4748380000001,2026-05-18,"50,154.00",50.21
41053095,PAAPEX4748380000001,2026-05-19,"50,084.42",-69.58
41053095,PAAPEX4748380000001,2026-05-20,"50,084.42",0.00
41053095,PAAPEX4748380000001,2026-05-21,"50,113.38",28.96
41053095,PAAPEX4748380000001,2026-05-22,"50,137.34",23.96
41053095,PAAPEX4748380000001,2026-05-23,"50,137.34",0.00
41053095,PAAPEX4748380000001,2026-05-26,"50,137.34",0.00
41053095,PAAPEX4748380000001,2026-05-27,"50,162.55",25.21
41053095,PAAPEX4748380000001,2026-05-28,"50,199.01",36.46
41053095,PAAPEX4748380000001,2026-05-29,"50,199.01",0.00
41053095,PAAPEX4748380000001,2026-05-30,"50,199.01",0.00
41053095,PAAPEX4748380000001,2026-06-04,"50,160.47",-38.54
41053095,PAAPEX4748380000001,2026-06-05,"50,131.93",-28.54
41053095,PAAPEX4748380000001,2026-06-06,"50,131.93",0.00
41053095,PAAPEX4748380000001,2026-06-09,"50,121.10",-10.83
41053095,PAAPEX4748380000001,2026-06-10,"50,121.10",0.00
41053095,PAAPEX4748380000001,2026-06-13,"50,121.10",0.00
41053095,PAAPEX4748380000001,2026-06-15,"50,138.81",17.71
41053095,PAAPEX4748380000001,2026-06-16,"50,121.73",-17.08
41053095,PAAPEX4748380000001,2026-06-17,"50,121.73",0.00
41053095,PAAPEX4748380000001,2026-06-18,"50,153.40",31.67
41053095,PAAPEX4748380000001,2026-06-19,"50,153.40",0.00
41053095,PAAPEX4748380000001,2026-06-20,"50,153.40",0.00
41053095,PAAPEX4748380000001,2026-06-24,"50,140.07",-13.33
41053095,PAAPEX4748380000001,2026-06-25,"50,165.28",25.21
41053095,PAAPEX4748380000001,2026-06-26,"50,053.41",-111.87
41053095,PAAPEX4748380000001,2026-06-27,"50,053.41",0.00
41053095,PAAPEX4748380000001,2026-06-29,"49,835.71",-217.70
